% mqtt logfile, enabled=true
% broker=tcp://localhost:1883
% context=drive
% client id=tif_in
% system=robobot/ (top level ID)
% function=drive/ (next level name)
% 1 	Time (sec)
% 2 	Quality of service 0=max once, 1=at least once, 2=once, S=subscribe
% 3 	'Topic'
% 4 	Message / payload
1740133742.7732 0 drive robobot/cmd/ti/log 1
1740133743.0677 0 drive robobot/cmd/T0/enc0  
1740133743.0679 0 drive robobot/cmd/T0/confw 0.075 0.075 19 68 0.23
1740133743.0681 0 drive robobot/cmd/T0/encrev 1
1740133743.0682 0 drive robobot/cmd/T0/confi  
1740133743.3596 0 drive robobot/cmd/T0/lip 1
1740133743.3800 0 drive robobot/cmd/T0/liwi  
1740133745.1135 0 drive robobot/cmd/ti/rc 0.250 -1.000 1740133745.113335
1740133745.1241 0 drive robobot/cmd/ti/rc 0.250 -1.000 1740133745.1238766
1740133745.1337 0 drive robobot/cmd/ti/rc 0.250 -1.000 1740133745.1336107
1740133745.1433 0 drive robobot/cmd/ti/rc 0.250 -1.000 1740133745.143247
1740133745.1545 0 drive robobot/cmd/ti/rc 0.250 -1.000 1740133745.154181
1740133745.1640 0 drive robobot/cmd/ti/rc 0.250 -1.000 1740133745.1639092
1740133745.1740 0 drive robobot/cmd/ti/rc 0.250 -1.000 1740133745.1737614
1740133745.1836 0 drive robobot/cmd/ti/rc 0.250 -1.000 1740133745.1834528
1740133745.1933 0 drive robobot/cmd/ti/rc 0.250 -1.000 1740133745.1932483
1740133745.2044 0 drive robobot/cmd/ti/rc 0.250 -1.000 1740133745.2043118
1740133745.2143 0 drive robobot/cmd/ti/rc 0.250 -1.000 1740133745.2141201
1740133745.2241 0 drive robobot/cmd/ti/rc 0.250 -1.000 1740133745.2239745
1740133745.2340 0 drive robobot/cmd/ti/rc 0.250 -1.000 1740133745.2338479
1740133745.2437 0 drive robobot/cmd/ti/rc 0.250 -1.000 1740133745.243541
1740133745.2536 0 drive robobot/cmd/ti/rc 0.250 -1.000 1740133745.2534275
1740133745.2645 0 drive robobot/cmd/ti/rc 0.250 -1.000 1740133745.2643209
1740133745.2742 0 drive robobot/cmd/ti/rc 0.250 -0.993 1740133745.2740967
1740133745.2842 0 drive robobot/cmd/ti/rc 0.250 -0.997 1740133745.2840614
